Country Name,Year,Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",Electric power consumption (kWh per capita),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),"Energy imports, net (% of energy use)",Fossil fuel energy consumption (% of total),GDP (constant LCU),"Net trade in goods and services (BoP, current US$)",Urban population
Australia,2017,100.0,2.72098319651067,10040.7488630314,62.722407171287,6.31091854016409,19.5555538330963,0.0,-213.039219172204,0.0,2285877000000.0,3124230284.15263,21427053.0
Australia,2018,100.0,2.47191752630847,10036.6706941858,60.4123253248345,6.13661436626624,20.6396328757048,0.0,-221.13514781466,0.0,2351577000000.0,11002049820.2101,21774643.0
Australia,2019,100.0,2.12424911197662,10025.7250631996,58.4427291251619,6.04751047245347,19.9885617325566,0.0,-230.540248121,0.0,2403171000000.0,41304937027.1211,22117801.0
Australia,2020,100.0,2.01512715396535,9933.58557724577,54.8771014186697,5.71276651909284,20.822240155669,0.0,-237.32858019566,0.0,2399962000000.0,43039657134.7925,22384444.0
Australia,2021,100.0,2.30537875480088,9843.21372769882,52.8370877486312,5.7235063301626,18.7464696445921,0.0,-232.104772123918,0.0,2448128000000.0,81917574427.2482,22406757.0
Austria,2005,100.0,1.28239498294254,8024.35247499675,12.6990064639694,59.009157289921,19.4921594445774,0.0,73.3959540550781,77.0533447951607,331215389000.0,10094027381.9188,5510983.0
Austria,2006,100.0,1.32751796800624,8187.31881091463,13.5235386850484,58.8173472226515,16.487898364811,0.0,73.7930481260843,74.2204369851838,342043933000.0,13594759429.9566,5540047.0
Austria,2007,100.0,1.46196340335606,8152.14344860043,12.2533956118247,60.2283203245037,15.2157212218057,0.0,70.1725628388934,72.8017498397423,354956860000.0,18758629627.5828,5559727.0
Austria,2008,100.0,1.38504114785417,8203.45284069114,10.3977502206399,60.8308028301746,16.7237588068989,0.0,70.4770761184034,71.6302365847181,360115468000.0,20361565740.6298,5579027.0
Austria,2009,100.0,1.17655306368833,7944.79609623168,7.28501744177631,63.2072604107864,17.8644318033783,0.0,66.7103875594823,69.4461637596758,347200774000.0,14219475612.9926,5595916.0
Austria,2010,100.0,1.29288595990855,8395.38541962101,9.42385558429873,58.4270610729952,20.1763018783039,0.0,64.3155771593729,70.0277214977251,353481575000.0,12134112745.743,5612241.0
Austria,2011,100.0,1.46130648071081,8406.10116517111,11.1452144713051,57.405071946272,18.8959628037014,0.0,71.8927591559524,69.0541377521327,363829635000.0,9636411469.57525,5634856.0
Austria,2012,100.0,1.41768134316306,8526.93674287434,8.57540322025261,65.7562359682107,13.3768577056045,0.0,65.5205864272438,67.0885233807915,366115381000.0,9742491014.22152,5665678.0
Austria,2013,100.0,1.27784992108872,8501.23876406383,8.96044238984142,66.9699806893323,9.72848030897068,0.0,62.8835645832405,66.1562846912885,365197433000.0,11561229856.2545,5706762.0
Austria,2014,100.0,1.27555801772568,8342.73695128076,7.4391026620618,68.5121794675876,8.12983281885143,0.0,67.4888818013271,65.0375293839374,367957591000.0,14193852265.852,5761563.0
Austria,2015,100.0,1.14362854172989,8318.46625689498,7.74897012205394,62.1617482656702,11.7352486255532,0.0,62.1474208451196,65.7446718554832,372754004000.0,13558003183.9384,5838802.0
Austria,2016,100.0,1.14928264077268,8255.77897660756,5.81044679978919,62.9618785500966,12.4246061954676,0.0,64.113786345696,0.0,380646025000.0,14270103560.1122,5916629.0
Austria,2017,100.0,1.19990203076681,8458.13489776604,5.48763389602378,59.1315686164545,15.3006000785149,0.0,65.9463812391604,0.0,389295254000.0,12156728045.6644,5973998.0
Austria,2018,100.0,1.10911414021412,8396.45084265961,5.27420318579944,60.0711194018975,14.4526866519959,0.0,66.5257775487766,0.0,398966209000.0,13361198807.8664,6020808.0
Austria,2019,100.0,1.04463413653499,8339.93999945946,4.59762373036614,59.5468383759463,15.2423417840882,0.0,74.4762818960772,0.0,405967971000.0,15502338073.3493,6066549.0
Austria,2020,100.0,1.07138113272871,8025.46724947246,3.24705752639268,62.492075305273,13.7186802282312,0.0,59.7668768093559,0.0,380317879000.0,14078374655.3191,6111709.0
Austria,2021,100.0,1.2152388657488,8381.61025757953,3.04850472044774,60.1206964780372,15.0050879077393,0.0,53.152930168409,0.0,399041277000.0,3788251302.88609,6159224.0
Azerbaijan,2001,98.6,14.8374595530138,2106.47006608147,0.0,6.85819715340011,59.388508170796,0.0,-68.8580860014022,98.3747650227007,7426581400.0,238833000.0,4149567.0
Azerbaijan,2002,100.0,13.9546391752577,1996.70825200839,0.0,10.8015614138281,58.2268327896904,0.0,-71.8885831391409,97.2976213892592,8127570200.0,-454039000.0,4185217.0
Azerbaijan,2003,98.8,12.4256629119149,2235.45985596483,0.0,11.5991731654609,52.7060039462558,0.0,-61.7063484269366,96.932815243922,8957256900.0,-1712980000.0,4259154.0
Azerbaijan,2004,99.0,10.9880190382406,2281.94787214832,0.0,12.670161883738,59.0599705665931,0.0,-55.1787255183956,97.1179684565971,9786143700.0,-2077108000.0,4342904.0
Azerbaijan,2005,99.1,9.14753443801158,2388.38873430769,0.0,13.1558237145855,61.17086393844,0.0,-93.9516932270916,97.1003320240447,12522500000.0,1329081000.0,4405961.0
Azerbaijan,2006,99.5,7.09103711685568,2552.28621435433,0.0,10.2595444729658,64.8453734262315,0.0,-182.88922536622,97.5880730638652,16838531100.0,5821918000.0,4467456.0
Azerbaijan,2007,99.5,6.54008215652051,2118.21052754245,0.0,10.8207076486474,70.9067606536367,0.0,-323.147547736931,94.5604492916688,21126162600.0,13093253000.0,4533343.0
Azerbaijan,2008,99.7,5.57089184098542,2040.76043544743,0.0,10.3128032158204,81.735434089544,0.0,-326.673374876152,94.1570500261843,23363726900.0,20668404000.0,4650150.0
Azerbaijan,2009,99.9,6.12193306461806,1620.3874199013,0.0,12.2323510705957,85.122959508162,0.0,-425.320752038097,93.8934907154094,25552791900.0,12972340000.0,4754190.0
Azerbaijan,2010,99.9,5.54456611326975,1603.43137406492,0.0,18.4179583110636,81.4537680384821,0.0,-457.069329810487,94.9759342908033,26776472300.0,17998383000.0,4824586.0
Azerbaijan,2011,99.9,5.07622595138436,1705.4246326371,0.0,13.1861633980487,85.1483197004041,0.0,-377.980203781313,95.9913406639385,26355279100.0,21331439000.0,4908383.0
Azerbaijan,2012,100.0,5.13976950772418,2052.65096521176,0.0,7.92152427353402,89.8903775883069,0.0,-326.999644782159,96.8720858082734,26935869800.0,19292808000.0,5001842.0
Azerbaijan,2013,100.0,5.3662644804235,2092.53652062946,0.0,6.37578145071508,92.9648026034084,0.0,-326.528065401554,96.6442655299042,28509844700.0,16419226000.0,5102221.0
Azerbaijan,2014,100.0,5.31940671805552,2202.39391828846,0.0,5.25719831769654,93.8612099644128,0.0,-312.699728361221,96.8139149092741,29307431900.0,12838097000.0,5209197.0
Azerbaijan,2015,100.0,6.17763883780802,2244.92014532391,0.0,6.63075178224238,86.0823071937783,0.0,-311.372702565001,50.9097565121081,29615027000.0,1583558000.0,5322292.0
Azerbaijan,2016,100.0,5.60511177455763,2215.66064195539,0.0,7.85107406219942,80.8352035908945,0.0,-307.157437510433,0.0,28707741500.0,1051820000.0,5440710.0
Azerbaijan,2017,100.0,5.60736901068842,2120.55307710051,0.0,7.17927631578947,86.4309210526316,0.0,-278.235862973283,0.0,28751840800.0,2735430000.0,5560945.0
Azerbaijan,2018,100.0,5.21238076212356,2182.74646367607,0.0,7.00780847437473,91.672281897816,0.0,-286.420238991512,0.0,29183233900.0,7703178030.41765,5683974.0
Azerbaijan,2019,100.0,5.69538024963307,2243.85125599507,0.0,5.99877262964099,92.4708499539736,0.0,-274.417456496816,0.0,29906922300.0,5745749526.72636,5827198.0
Azerbaijan,2020,100.0,6.7389474235341,2257.18090568814,0.0,4.13715701072023,94.3418862959093,0.0,-274.460605575333,0.0,28651142400.0,-417799456.700004,5883630.0
Azerbaijan,2021,100.0,5.72598365721349,2389.09028137407,0.0,4.57919460680604,91.924552658945,0.0,-287.016525688087,0.0,30260316700.0,9062113327.4647,5916999.0
