Country Name,Year,Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",carbon_emissions,Electric power consumption (kWh per capita),Electricity production from coal sources (% of total),Electricity production from hydroelectric sources (% of total),Electricity production from natural gas sources (% of total),Electricity production from nuclear sources (% of total),"Energy imports, net (% of energy use)",Fossil fuel energy consumption (% of total),GDP (constant LCU),"Net trade in goods and services (BoP, current US$)",Urban population
Argentina,2021,100.0,7.29128249622041,185.676,2942.91077511635,1.81813433956352,16.4741903263502,55.1766234274933,7.10084280482311,5.96636808897159,0.0,689809934000.0,14995374116.8722,41700565.0
Argentina,2022,100.0,6.54156940484837,195.0411,2833.11909750338,1.82223900580178,20.2403103436438,48.7569089223798,5.48456864293316,1.95855821220972,0.0,731341633700.0,5641696321.91141,41826509.0
Argentina,2023,100.0,5.8467786039069,189.8908,2821.77233232234,1.41051696523506,27.1847534960094,45.6150150069315,6.45096165493479,0.41571453028353,0.0,717769483200.0,-8863234392.09042,41983907.0
Armenia,2012,99.5,17.9126819526397,5.6696,1804.50381931814,0.0,28.8949726231956,42.297162767546,28.7580886012942,74.3403810595709,77.3222424600036,4266460500000.0,-2214007063.77409,1945308.0
Armenia,2013,99.4,18.4347628834968,5.4929,1851.75380542687,0.0,28.1841763942931,41.1543450064851,30.609597924773,73.6822602294154,75.4886876703517,4407253696500.0,-2321776645.52881,1944911.0
Armenia,2014,99.7,18.0720363470662,5.7607,1895.28170416086,0.0,25.7065427797135,42.4312814556717,31.8105562008001,71.6592288400781,69.982208305614,4565914829600.0,-2168908139.47845,1941318.0
Armenia,2015,100.0,17.2231200318056,5.6172,1909.40557811356,0.0,28.2856776509809,35.9148608795999,35.7481728426721,67.6293163476974,63.48193418408,4712024104100.0,-1281494851.04736,1937756.0
Armenia,2016,99.8,16.39047353385,5.3749,1889.85061658256,0.0,32.1394395078606,35.2836637047163,32.5358851674641,68.2448098805489,0.0,4721448152300.0,-905845561.903669,1932813.0
Armenia,2017,99.7,14.9942601242776,5.6892,2006.10861247231,0.0,29.2208628461043,36.973599484868,33.7282678686413,68.960568280661,0.0,5075556763800.0,-1243550763.88082,1928044.0
Armenia,2018,99.9,13.9423116554146,5.9516,1938.69989895588,0.0,29.7522782697985,43.3192144782441,26.6461301501733,72.731773920089,0.0,5339485715500.0,-1752742382.16506,1925405.0
Armenia,2019,100.0,11.5256107379588,6.4247,2084.05063291139,0.0,30.8633936710509,39.6666232582367,28.610496158354,74.1707853018448,0.0,5745286629800.0,-1817137352.77571,1925764.0
Armenia,2020,100.0,11.3498051554549,6.9145,2114.13135235523,0.0,22.6843582546568,40.3801990303649,35.1620311303904,74.1472665445986,0.0,5331625992500.0,-1257660276.69422,1930134.0
Armenia,2021,100.0,11.3435484176857,7.4634,2262.09364345272,0.0,27.9350171341541,42.9369209290519,25.3585480390913,78.9045161126683,0.0,5640860300100.0,-1115247228.47482,1936079.0
Australia,2001,100.0,3.50187086251559,360.4279,10712.6953616557,83.1517795534979,7.53800609878247,7.68847241079974,0.0,-126.513619589279,98.047039481528,1430830000000.0,2098010276.45844,16412043.0
Australia,2002,100.0,3.94425123897134,368.6413,10860.6165309325,77.0486256069961,7.05499769286546,13.9438816989299,0.0,-130.62417241528,98.2353774183339,1487345000000.0,-4719220380.96603,16626336.0
Australia,2003,100.0,2.88733584935682,368.1402,10524.4038293295,77.4132480684052,7.46822945444335,13.3042273167815,0.0,-125.288697474724,93.9279842959948,1533323000000.0,-14416671532.8361,16843424.0
Australia,2004,100.0,3.05821916621123,381.9789,10659.607854863,77.5812707390318,7.14911090293039,13.5352005393243,0.0,-125.872031210017,94.078746859524,1598013000000.0,-19188702454.739,17046218.0
Australia,2005,100.0,2.88921493532413,384.1228,10556.3090045202,79.4226984474087,6.82790290837525,10.4102339820687,0.0,-131.07466643319,94.2107666945866,1648438000000.0,-14812982446.7777,17275230.0
Australia,2006,100.0,2.74011319183189,390.1907,10597.6901042229,79.5863935059915,6.88442211055276,9.76076966026715,0.0,-123.806910241922,94.3348375489683,1694115000000.0,-12739769551.3515,17536551.0
Australia,2007,100.0,2.21281034154067,400.701,10899.9001422246,76.9971664397899,5.97021677352492,13.0981217896256,0.0,-127.764290888944,94.5279081721256,1758313000000.0,-22880495663.2295,17890272.0
Australia,2008,100.0,2.35417910776003,404.3323,10718.0040057039,75.7886860098429,4.95721997689344,14.3717031012947,0.0,-123.534610231999,94.5650942930512,1822034000000.0,-12412041447.6859,18279705.0
Australia,2009,100.0,2.31423570641201,410.3013,10852.238877323,74.8797156696029,4.78276287263965,16.1475165416139,0.0,-128.476617177707,95.8145618949755,1857652000000.0,-8745692016.93037,18682547.0
Australia,2010,100.0,2.21824837320556,415.3195,10797.8712539857,71.324818630497,5.36252132303759,17.6461741226386,0.0,-146.708346775748,94.9191122643155,1898707000000.0,6038557388.26251,18995744.0
Australia,2011,100.0,2.30485962261499,412.862,10786.2910084609,68.0198986946897,6.61990027020001,19.2988191550538,0.0,-141.942926034157,95.193382300112,1944176000000.0,13124139505.3402,19285449.0
Australia,2012,100.0,2.27317856495351,413.3728,10486.5668300015,68.6119521912351,5.61075697211155,19.3513944223108,0.0,-149.195380388504,95.0858882901384,2021019000000.0,-24017679329.5256,19651972.0
Australia,2013,100.0,2.29076813252161,405.7424,10298.9307954829,63.7968006605502,7.32296814689225,20.4634272452894,0.0,-164.691774053304,92.6074388252159,2074666000000.0,-9513266324.06123,20022958.0
Australia,2014,100.0,2.22695769265967,396.4423,10130.0980086375,61.392428066633,7.43907117617365,21.966279656739,0.0,-185.555789490717,92.1303249972753,2128632000000.0,-8959866226.01974,20358615.0
Australia,2015,100.0,2.37664391487055,400.6316,10157.1653840203,63.1332652712618,5.34101878592625,20.8405003754007,0.0,-197.386842232292,92.4085902645688,2174703000000.0,-28773630265.3471,20690828.0
Australia,2016,100.0,2.41300232330254,408.6132,10196.8479313322,63.6138825930166,5.9653714045377,19.6314383406937,0.0,-206.230251314561,0.0,2234630000000.0,-12915729462.2999,21050112.0
Australia,2017,100.0,2.72098319651067,411.2113,10040.7488630314,62.722407171287,6.31091854016409,19.5555538330963,0.0,-213.039219172204,0.0,2285877000000.0,3124230284.15263,21427053.0
Australia,2018,100.0,2.47191752630847,409.2476,10036.6706941858,60.4123253248345,6.13661436626624,20.6396328757048,0.0,-221.13514781466,0.0,2351577000000.0,11002049820.2101,21774643.0
Australia,2019,100.0,2.12424911197662,407.9086,10025.7250631996,58.4427291251619,6.04751047245347,19.9885617325566,0.0,-230.540248121,0.0,2403171000000.0,41304937027.1211,22117801.0
Australia,2020,100.0,2.01512715396535,392.5458,9933.58557724577,54.8771014186697,5.71276651909284,20.822240155669,0.0,-237.32858019566,0.0,2399962000000.0,43039657134.7925,22384444.0
Australia,2021,100.0,2.30537875480088,384.7347,9843.21372769882,52.8370877486312,5.7235063301626,18.7464696445921,0.0,-232.104772123918,0.0,2448128000000.0,81917574427.2482,22406757.0
